9.2128;0
8.7952;0.02
8.4175;0.04
8.0795;0.06
7.7018;0.08
7.3836;0.1
7.0655;0.12
6.7474;0.14
6.4691;0.16
6.1908;0.18
5.9323;0.2
5.6738;0.22
5.4353;0.24
5.2166;0.26
4.9979;0.28
4.7792;0.3
4.5803;0.32
4.3815;0.34
4.2026;0.36
4.0237;0.38
3.8646;0.4
3.7056;0.42
3.5465;0.44
3.4073;0.46
3.2682;0.48
3.129;0.5
3.0097;0.52
2.8904;0.54
2.7711;0.56
2.6518;0.58
2.5524;0.6
2.453;0.62
2.3735;0.64
2.2542;0.66
2.1747;0.68
2.0951;0.7
2.0156;0.72
1.9361;0.74
1.8566;0.76
1.7969;0.78
1.7174;0.8
1.6577;0.82
1.5981;0.84
1.5385;0.86
1.4788;0.88
1.4192;0.9
1.3794;0.92
1.3198;0.94
1.28;0.96
1.2402;0.98
